ID,ID_IDECABA,Tipo_Transporte,Nombre,Linea,Ramal,Direccion,Barrio,Comuna,Localidad,Latitud,Longitud,Flag_Coordenada_Anomala,Flag_Fuera_CABA,Flag_Duplicado
1,1,Tren,3 de Febrero,Mitre,Retiro - Mitre / Jose L Suarez,No informado,Palermo,Comuna 14,No informado,-34.57187557452701,-58.42521590019884,0,0,0
2,2,Tren,Antonio Devoto,Urquiza,Lacroze- Gral. Lemos,No informado,Villa Devoto,Comuna 11,No informado,-34.59560497644177,-58.510564999657916,0,0,0
3,3,Tren,Belgrano C,Mitre,Retiro - Tigre,No informado,Belgrano,Comuna 13,No informado,-34.558602977874344,-58.44925061822621,0,0,0
4,4,Tren,Belgrano R,Mitre,Retiro - Mitre / Jose L Suarez,No informado,Belgrano,Comuna 13,No informado,-34.567788741212325,-58.4624500939876,0,0,0
5,5,Tren,Buenos Aires,Belgrano Sur,Buenos Aires - Marinos del Belgrano,No informado,Barracas,Comuna 4,No informado,-34.64535028060146,-58.393869395876266,0,0,0
6,6,Tren,Caballito,Sarmiento,Once-Moreno,No informado,Caballito,Comuna 6,No informado,-34.619281313431756,-58.44391005839142,0,0,0
7,7,Tren,Ciudad Universitaria,Belgrano Norte,Retiro - Villa Rosa,No informado,Belgrano,Comuna 13,No informado,-34.543733488263484,-58.44656939484064,0,0,0
8,8,Tren,Coghlan,Mitre,Retiro - Bartolome Mitre,No informado,Coghlan,Comuna 12,No informado,-34.565359590919655,-58.47515490923982,0,0,0
9,9,Tren,Colegiales,Mitre,Retiro - Mitre / Jose L Suarez,No informado,Colegiales,Comuna 13,No informado,-34.573024284005584,-58.44819199016154,0,0,0
10,10,Tren,Constitución,Roca,Constitucion-La Plata,No informado,Constitucion,Comuna 1,No informado,-34.62885203837414,-58.380674080061155,0,0,0
11,11,Tren,Devoto,San Martín,Retiro - Pilar,No informado,Villa Devoto,Comuna 11,No informado,-34.60267485983368,-58.51265664366834,0,0,0
12,12,Tren,Dr. Antonio Sáenz,Belgrano Sur,Buenos Aires - Marinos del Belgrano,No informado,Nueva Pompeya,Comuna 4,No informado,-34.64910993910678,-58.415227168818284,0,0,0
13,13,Tren,Dr. Francisco Beiró,Urquiza,Lacroze- Gral. Lemos,No informado,Agronomia,Comuna 15,No informado,-34.5931694373394,-58.494308525678505,0,0,0
14,14,Tren,Dr. Lisandro de la Torre,Mitre,Retiro - Tigre,No informado,Belgrano,Comuna 13,No informado,-34.56253886667018,-58.43674464755534,0,0,0
15,15,Tren,El Libertador,Urquiza,Lacroze- Gral. Lemos,No informado,Agronomia,Comuna 15,No informado,-34.59447796490903,-58.50302102566902,0,0,0
16,16,Tren,Estación Once,Sarmiento,Once-Moreno,No informado,Balvanera,Comuna 3,No informado,-34.60862987687631,-58.40782723380976,0,0,0
17,17,Tren,Federico Lacroze,Urquiza,Lacroze- Gral. Lemos,No informado,Chacarita,Comuna 15,No informado,-34.58687555104254,-58.45578378385564,0,0,0
18,18,Tren,Flores,Sarmiento,Once-Moreno,No informado,Flores,Comuna 7,No informado,-34.62789656331278,-58.466247515727055,0,0,0
19,19,Tren,Floresta,Sarmiento,Once-Moreno,No informado,Floresta,Comuna 10,No informado,-34.63238431096948,-58.48088088669235,0,0,0
20,20,Tren,General Urquiza,Mitre,Retiro - Jose Leon Suarez,No informado,Villa Urquiza,Comuna 12,No informado,-34.57473250187778,-58.48784952191221,0,0,0
21,21,Tren,Hipólito Yrigoyen,Roca,Constitucion-La Plata,No informado,Barracas,Comuna 4,No informado,-34.653595620660866,-58.37888733823568,0,0,0
22,22,Tren,José Artigas,Urquiza,Lacroze- Gral. Lemos,No informado,Chacarita,Comuna 15,No informado,-34.590104829428924,-58.466296196115955,0,0,0
23,23,Tren,La Paternal,San Martín,Retiro - Pilar,No informado,Paternal,Comuna 15,No informado,-34.59697820787978,-58.46701517042347,0,0,0
24,24,Tren,Liniers,Sarmiento,Once-Moreno,No informado,Liniers,Comuna 9,No informado,-34.63889875442699,-58.526465180128824,0,0,0
25,25,Tren,Luis María Drago,Mitre,Retiro - Jose Leon Suarez,No informado,Villa Urquiza,Comuna 12,No informado,-34.5684025810177,-58.47894737123798,0,0,0
26,26,Tren,Luis María Saavedra,Mitre,Retiro - Bartolome Mitre,No informado,Saavedra,Comuna 12,No informado,-34.55442849705282,-58.48681529664287,0,0,0
27,27,Tren,Ministro Carranza,Mitre,Retiro - Mitre / Jose L Suarez,No informado,Palermo,Comuna 14,No informado,-34.57561115414147,-58.43496662856017,0,0,0
28,28,Tren,Núñez,Mitre,Retiro - Tigre,No informado,Nuñez,Comuna 13,No informado,-34.54848356111247,-58.46274930011003,0,0,0
29,29,Tren,Palermo,San Martín,Retiro - Pilar,No informado,Palermo,Comuna 14,No informado,-34.57893684466901,-58.4268347477585,0,0,0
30,30,Tren,Pedro Arata,Urquiza,Lacroze- Gral. Lemos,No informado,Agronomia,Comuna 15,No informado,-34.5924808425556,-58.47643226657313,0,0,0
31,31,Tren,Presidente Illia,Belgrano Sur,Buenos Aires - Marinos del Belgrano,No informado,Villa Soldati,Comuna 8,No informado,-34.665448747968064,-58.448622774511605,0,0,0
32,32,Tren,Pueyrredón,Mitre,Retiro - Jose Leon Suarez,No informado,Villa Pueyrredon,Comuna 12,No informado,-34.58048707712406,-58.50170118212054,0,0,0
33,35,Tren,Retiro,Mitre,Retiro - Tigre,No informado,Retiro,Comuna 1,No informado,-34.59081198548558,-58.37512288514201,0,0,0
34,34,Tren,Retiro,San Martín,Retiro - Pilar,No informado,Retiro,Comuna 1,No informado,-34.58930505170659,-58.37336094844152,0,0,0
35,33,Tren,Retiro,Belgrano Norte,Retiro - Villa Rosa,No informado,Retiro,Comuna 1,No informado,-34.590189346824616,-58.37415420018353,0,0,0
36,36,Tren,Rivadavia,Mitre,Retiro - Tigre,No informado,Nuñez,Comuna 13,No informado,-34.536614209873996,-58.468003916656244,0,0,0
37,37,Tren,Saldías,Belgrano Norte,Retiro - Villa Rosa,No informado,Recoleta,Comuna 2,No informado,-34.57565922824308,-58.39936374786107,0,0,0
38,38,Tren,Scalabrini Ortiz,Belgrano Norte,Retiro - Villa Rosa,No informado,Belgrano,Comuna 13,No informado,-34.54831646853125,-58.4382473940573,0,0,0
39,39,Tren,Villa Crespo (ex Chacarita),San Martín,Retiro - Pilar,No informado,Villa Crespo,Comuna 15,No informado,-34.59252734424225,-58.44647713498287,0,0,0
40,40,Tren,Villa del Parque,San Martín,Retiro - Pilar,No informado,Villa Del Parque,Comuna 11,No informado,-34.601455970839744,-58.49415964029635,0,0,0
41,41,Tren,Villa Lugano,Belgrano Sur,Buenos Aires - Marinos del Belgrano,No informado,Villa Lugano,Comuna 8,No informado,-34.67731129104143,-58.47711982642373,0,0,0
42,42,Tren,Villa Luro,Sarmiento,Once-Moreno,No informado,Villa Luro,Comuna 10,No informado,-34.63620095961024,-58.501712223119256,0,0,0
43,43,Tren,Villa Soldati,Belgrano Sur,Buenos Aires - Marinos del Belgrano,No informado,Villa Soldati,Comuna 8,No informado,-34.66223221330092,-58.44093425553207,0,0,0
44,219,Tren,Abbott,Roca,No informado,No informado,No informado,No informado,No informado,-35.28129500942761,-58.80279356777368,1,1,0
45,251,Tren,Acassuso,Mitre,No informado,No informado,No informado,No informado,Acassuso,-34.47984466239989,-58.50402175599086,1,1,0
46,36,Tren,Adolfo Sourdeaux,Belgrano Norte,No informado,No informado,No informado,No informado,Ingeniero Adolfo Sourdeaux,-34.50299905585748,-58.666462708792075,1,1,0
47,180,Tren,Adrogué,Roca,No informado,No informado,No informado,No informado,Adrogué,-34.797817126201885,-58.39424149191243,1,1,0
48,2,Tren,Agustín Ferrari,Sarmiento,No informado,No informado,No informado,No informado,Mariano Acosta,-34.706063889415944,-58.77939355605926,1,1,0
49,128,Tren,Aldo Bonzi,Belgrano Sur,No informado,No informado,No informado,No informado,Aldo Bonzi,-34.71075962677399,-58.51437251229124,1,1,0
50,217,Tren,Alejandro Korn,Roca,No informado,No informado,No informado,No informado,San Vicente,-34.98038757794364,-58.37382936972327,1,1,0
51,10,Tren,Alejandro Petión,Roca,No informado,No informado,No informado,No informado,Cañuelas,-34.97809059966395,-58.67540440999109,1,1,0
52,218,Tren,Altamirano,Roca,No informado,No informado,No informado,No informado,No informado,-35.36110588282554,-58.15115862439983,1,1,0
53,27,Tren,Altimpergher,Urquiza,No informado,No informado,No informado,No informado,José C. Paz,-34.52014090226427,-58.75334343041436,1,1,0
54,22,Tren,"Apeadero ""Dr. Ricardo Levene""",Roca,No informado,No informado,No informado,No informado,Cañuelas,-35.02165663458425,-58.72380447122397,1,1,0
55,33,Tren,Apeadero Kloosterman,Roca,No informado,No informado,No informado,No informado,Cañuelas,-34.98636599610312,-58.68970805830323,1,1,0
56,242,Tren,Aristóbulo del Valle,Belgrano Norte,No informado,No informado,No informado,No informado,Florida,-34.537683861695804,-58.47816624531613,0,0,0
57,187,Tren,Av. Maipú,Tren de la Costa,No informado,No informado,No informado,No informado,Olivos,-34.51398192040446,-58.48828237082996,1,1,0
58,288,Tren,Bancalari,Mitre,No informado,No informado,No informado,No informado,Victoria,-34.47970271863558,-58.602882693124656,1,1,0
59,19,Tren,Banfield,Roca,No informado,No informado,No informado,No informado,Banfield,-34.7435397794875,-58.395358835796934,1,1,0
60,284,Tren,Bartolomé Mitre,Mitre,No informado,No informado,No informado,No informado,Olivos,-34.515019605006366,-58.489224078175845,1,1,0
61,250,Tren,Beccar,Mitre,No informado,No informado,No informado,No informado,Beccar,-34.46065439501875,-58.52668318737865,1,1,0
62,56,Tren,Bella Vista,San Martín,No informado,No informado,No informado,No informado,Bella Vista,-34.56379976578522,-58.68466089946236,1,1,0
63,291,Tren,Benavídez,Mitre,No informado,No informado,No informado,No informado,Benavídez,-34.409277469989114,-58.684611319586004,1,1,0
64,157,Tren,Berazategui,Roca,No informado,No informado,No informado,No informado,Berazategui,-34.76413104742798,-58.20842865064916,1,1,0
65,158,Tren,Bernal,Roca,No informado,No informado,No informado,No informado,Bernal,-34.70932981028496,-58.28048148637693,1,1,0
66,213,Tren,Borges,Tren de la Costa,No informado,No informado,No informado,No informado,Olivos,-34.50850154162181,-58.48471321009081,1,1,0
67,150,Tren,Bosques,Roca,No informado,No informado,No informado,No informado,Bosques,-34.81958729022254,-58.23011606601809,1,1,0
68,37,Tren,Boulogne Sur Mer,Belgrano Norte,No informado,No informado,No informado,No informado,Boulogne,-34.50861753026708,-58.56532165467617,1,1,0
69,29,Tren,Burzaco,Roca,No informado,No informado,No informado,No informado,Burzaco,-34.825117902321516,-58.391401966028845,1,1,0
70,77,Tren,Campo de Mayo,Urquiza,No informado,No informado,No informado,No informado,Campo de Mayo,-34.54376535183564,-58.685758301416236,1,1,0
71,227,Tren,Canal San Fernando,Tren de la Costa,No informado,No informado,No informado,No informado,Tigre,-34.42995283152897,-58.56286886944351,1,1,0
72,211,Tren,Cañuelas,Roca,No informado,No informado,No informado,No informado,Cañuelas,-35.05922754747488,-58.75425154323478,1,1,0
73,215,Tren,Capilla,Urquiza,No informado,No informado,No informado,No informado,No informado,-34.291845457672615,-59.10694599383332,1,1,0
74,297,Tren,Capilla del Señor,Mitre,No informado,No informado,No informado,No informado,No informado,-34.28695116585888,-59.10171462057733,1,1,0
75,78,Tren,Capitán Lozano,Urquiza,No informado,No informado,No informado,No informado,Campo de Mayo,-34.55537668275518,-58.669762887985975,1,1,0
76,38,Tren,Carapachay,Belgrano Norte,No informado,No informado,No informado,No informado,Carapachay,-34.528805328989606,-58.537383552043956,0,0,0
77,235,Tren,Carlos Spegazzini,Roca,No informado,No informado,No informado,No informado,Carlos Spegazzini,-34.91002430978792,-58.594359258765266,1,1,0
78,257,Tren,Carupá,Mitre,No informado,No informado,No informado,No informado,San Fernando,-34.43771294306219,-58.56721895334156,1,1,0
79,57,Tren,Caseros,San Martín,No informado,No informado,No informado,No informado,Caseros,-34.60459840711987,-58.56456058485908,1,1,0
80,106,Tren,Castelar,Sarmiento,No informado,No informado,No informado,No informado,Castelar,-34.65202267335601,-58.641946598807,1,1,0
81,285,Tren,Cetrángolo,Mitre,No informado,No informado,No informado,No informado,Florida,-34.52313534470526,-58.494132113346865,0,0,0
82,269,Tren,Chilavert,Mitre,No informado,No informado,No informado,No informado,General San Martín,-34.542479712244194,-58.56655809676695,1,1,0
83,170,Tren,City Bell,Roca,No informado,No informado,No informado,No informado,City Bell,-34.865781355057024,-58.04201010247241,1,1,0
84,103,Tren,Ciudadela,Sarmiento,No informado,No informado,No informado,No informado,Ciudadela,-34.63997314387962,-58.54127151660328,1,1,0
85,151,Tren,Claypole,Roca,No informado,No informado,No informado,No informado,Claypole,-34.80118334444474,-58.33831059191995,1,1,0
86,199,Tren,Coronel Brandsen,Roca,No informado,No informado,No informado,No informado,No informado,-35.16791010321871,-58.23189755268917,1,1,0
87,79,Tren,Coronel F. Lynch,Urquiza,No informado,No informado,No informado,No informado,Sáenz Peña,-34.59719650831005,-58.524363606746924,0,0,0
88,144,Tren,Darío Santillán y Maximiliano Kosteki,Roca,No informado,No informado,No informado,No informado,Avellaneda,-34.66203758143972,-58.37663867075505,0,0,0
89,141,Tren,De Elía,Roca,No informado,No informado,No informado,No informado,Aldo Bonzi,-34.70980678270647,-58.506133921873264,0,0,0
90,39,Tren,Del Viso,Belgrano Norte,No informado,No informado,No informado,No informado,Del Viso,-34.453867794170755,-58.79571311405638,1,1,0
91,183,Tren,Delta,Tren de la Costa,No informado,No informado,No informado,No informado,Tigre,-34.41849964254023,-58.576859140901284,1,1,0
92,60,Tren,Doctor Domingo Cabred,San Martín,No informado,No informado,No informado,No informado,No informado,-34.48785948263319,-59.07571769515787,1,1,0
93,221,Tren,Domselaar,Roca,No informado,No informado,No informado,No informado,San Vicente,-35.07005314443211,-58.29071171112879,1,1,0
94,159,Tren,Don Bosco,Roca,No informado,No informado,No informado,No informado,Don Bosco,-34.703282671628045,-58.296428955406554,1,1,0
95,40,Tren,Don Torcuato,Belgrano Norte,No informado,No informado,No informado,No informado,Don Torcuato,-34.50269204032738,-58.64189394416898,1,1,0
96,289,Tren,Dr. Albert Schweitzer,Mitre,No informado,No informado,No informado,No informado,Victoria,-34.472038300435806,-58.57435310616345,1,1,0
97,81,Tren,Ejército de los Andes,Urquiza,No informado,No informado,No informado,No informado,Hurlingham,-34.580141172552814,-58.64034464552957,1,1,0
98,177,Tren,El Jagüel,Roca,No informado,No informado,No informado,No informado,El Jagüel,-34.83323954984928,-58.49613566901129,1,1,0
99,75,Tren,El Palomar,San Martín,No informado,No informado,No informado,No informado,Ciudad Jardín Lomas de El Palomar,-34.604929967793794,-58.596038785040854,1,1,0
100,239,Tren,Empalme Lobos,Sarmiento,No informado,No informado,No informado,No informado,No informado,-35.15155885988287,-59.09093965275986,1,1,0
101,249,Tren,Escobar,Mitre,No informado,No informado,No informado,No informado,Belén de Escobar,-34.34959792622342,-58.795055348483245,1,1,0
102,290,Tren,Estación El Talar,Mitre,No informado,No informado,No informado,No informado,General Pacheco,-34.462735628364975,-58.64608251650584,1,1,0
103,34,Tren,"Estación ""La Salada""",Belgrano Sur,No informado,No informado,No informado,No informado,Ingeniero Budge,-34.71877197695961,-58.472789403055245,1,1,0
104,152,Tren,Estanislao S. Zeballos,Roca,No informado,No informado,No informado,No informado,Estanislao Severo Zeballos,-34.81097316657124,-58.25679133087899,1,1,0
105,35,Tren,"Ex-estación ""La Salada""",Belgrano Sur,No informado,No informado,No informado,No informado,Ciudad Celina,-34.717907789162595,-58.479938810541405,1,1,0
106,234,Tren,Ezeiza,Roca,No informado,No informado,No informado,No informado,Ezeiza,-34.85406050598544,-58.522890075259916,1,1,0
107,160,Tren,Ezpeleta,Roca,No informado,No informado,No informado,No informado,Ezpeleta,-34.75181292245215,-58.23432051304694,1,1,0
108,232,Tren,Fátima,Urquiza,No informado,No informado,No informado,No informado,Fátima,-34.436765294919375,-58.99058418484783,1,1,0
109,83,Tren,Fernández Moreno,Urquiza,No informado,No informado,No informado,No informado,Sáenz Peña,-34.59554609989093,-58.5352832585905,0,0,0
110,233,Tren,Fiorito,Belgrano Sur,No informado,No informado,No informado,No informado,Villa Fiorito,-34.705396126436916,-58.44097704283311,0,0,0
